claim,verdict,source,category,correction
The Sun is a medium-sized yellow dwarf star classified as a G-type main-sequence star,True,NASA Solar Science,stars,
The Sun is the largest star in the Milky Way galaxy,False,NASA,stars,The Sun is a relatively small star. Stars like UY Scuti and Betelgeuse are far larger.
Light from the Sun takes approximately 8 minutes and 20 seconds to reach Earth,True,NASA,solar_system,
The Sun accounts for about 99.86 percent of the total mass of the solar system,True,NASA Solar System Exploration,solar_system,
Mercury is the hottest planet in the solar system because it is closest to the Sun,False,NASA Planetary Science,planets,"Venus is the hottest planet due to its thick atmosphere and greenhouse effect, despite being farther from the Sun than Mercury."
"Venus rotates in the opposite direction to most other planets, meaning the Sun rises in the west on Venus",True,NASA Venus Fact Sheet,planets,
A day on Venus is longer than a year on Venus,True,NASA Venus Fact Sheet,planets,
Venus has a thick atmosphere composed mainly of carbon dioxide with clouds of sulfuric acid,True,NASA,planets,
Mars is known as the Red Planet because of iron oxide or rust on its surface,True,NASA Mars Exploration,planets,
Mars has two small moons named Phobos and Deimos,True,NASA Mars Fact Sheet,planets,
Olympus Mons on Mars is the tallest known volcano and mountain in the solar system at about 21.9 kilometers high,True,NASA,planets,
Mars has a similar atmospheric pressure to Earth making it relatively easy to breathe there,False,NASA,planets,"Mars has less than 1% of Earth's atmospheric pressure, and its atmosphere is 95% carbon dioxide. Humans cannot breathe there without life support."
Jupiter is the largest planet in the solar system with a mass more than twice that of all other planets combined,True,NASA Jupiter Fact Sheet,planets,
Jupiter's Great Red Spot is a massive storm that has been raging for at least 350 years,True,NASA,planets,
Jupiter has at least 95 known moons,True,NASA JPL,planets,
"Europa, one of Jupiter's moons, likely has a subsurface ocean of liquid water beneath its icy crust",True,NASA Europa Clipper Mission,moons,
Saturn is the only planet in the solar system with rings,False,NASA,planets,"Jupiter, Uranus, and Neptune also have ring systems, though Saturn's are the most prominent and visible."
Saturn is less dense than water and could theoretically float if placed in a large enough body of water,True,NASA Saturn Fact Sheet,planets,
Saturn's moon Titan has a thick atmosphere and liquid methane lakes on its surface,True,NASA Cassini Mission,moons,
Titan is the only moon in the solar system known to have a dense atmosphere,True,NASA,moons,
Uranus rotates on its side with an axial tilt of about 98 degrees,True,NASA Uranus Fact Sheet,planets,
Neptune has the strongest sustained winds of any planet in the solar system reaching up to 2100 kilometers per hour,True,NASA Neptune Fact Sheet,planets,
Pluto is classified as a dwarf planet since its reclassification by the IAU in 2006,True,International Astronomical Union,dwarf_planets,
Pluto is smaller than Earth's Moon,True,NASA,dwarf_planets,
The Moon is slowly moving away from Earth at a rate of about 3.8 centimeters per year,True,NASA Lunar Science,moons,
The dark side of the Moon is always dark and never receives sunlight,False,NASA,moons,"The far side of the Moon receives just as much sunlight as the near side. It is called the far side because it always faces away from Earth, not because it is dark."
The Moon has no atmosphere at all,False,NASA,moons,"The Moon has an extremely thin atmosphere called an exosphere, composed of helium, neon, and argon, but it is so thin it is nearly a vacuum."
The Asteroid Belt between Mars and Jupiter contains millions of asteroids,True,NASA,solar_system,
The Asteroid Belt is so densely packed that spacecraft have to carefully navigate through it,False,NASA JPL,solar_system,The Asteroid Belt is mostly empty space. The average distance between asteroids is about 1 million kilometers. Spacecraft pass through it without any special navigation.
The Kuiper Belt is a region of icy bodies beyond Neptune's orbit that includes Pluto,True,NASA Solar System Exploration,solar_system,
"The Oort Cloud is a hypothesized spherical cloud of icy objects surrounding the solar system at a distance of up to 100,000 AU",True,NASA,solar_system,
"Comets are composed of ice, dust, and rocky material, often described as dirty snowballs",True,NASA,solar_system,
Halley's Comet is visible from Earth approximately every 75 to 79 years,True,NASA,solar_system,
"The speed of light in a vacuum is approximately 299,792 kilometers per second",True,NIST,physics,
Nothing can travel faster than the speed of light according to Einstein's theory of special relativity,True,Einstein's Special Relativity,physics,
A light-year is a unit of time equal to one year at the speed of light,False,IAU,physics,"A light-year is a unit of distance, not time. It is the distance that light travels in one year, approximately 9.46 trillion kilometers."
"The Milky Way galaxy is a barred spiral galaxy approximately 100,000 light-years in diameter",True,NASA,galaxies,
The Milky Way contains an estimated 100 to 400 billion stars,True,NASA,galaxies,
The supermassive black hole at the center of the Milky Way is called Sagittarius A-star,True,Event Horizon Telescope Collaboration,galaxies,
The Andromeda Galaxy is the nearest major galaxy to the Milky Way at about 2.5 million light-years away,True,NASA,galaxies,
The Milky Way and Andromeda Galaxy are expected to collide in about 4.5 billion years,True,NASA Hubble Space Telescope,galaxies,
There are approximately 2 trillion galaxies in the observable universe,True,"Conselice et al. 2016, Astrophysical Journal",cosmology,
The observable universe is approximately 93 billion light-years in diameter,True,NASA WMAP,cosmology,
The universe is approximately 13.8 billion years old based on observations of the cosmic microwave background,True,NASA Planck Mission,cosmology,
The Big Bang theory states that the universe began as an explosion in empty space,False,NASA,cosmology,The Big Bang was not an explosion in space. It was the rapid expansion of space itself from an extremely hot and dense state. There was no pre-existing empty space for it to explode into.
Dark matter makes up about 27 percent of the universe while dark energy makes up about 68 percent,True,NASA Planck Mission,cosmology,
Ordinary visible matter makes up only about 5 percent of the total content of the universe,True,NASA,cosmology,
The cosmic microwave background radiation is the afterglow of the Big Bang detectable in every direction in space,True,NASA COBE/WMAP/Planck,cosmology,
The universe is expanding and the rate of expansion is accelerating,True,"Nobel Prize in Physics 2011, Perlmutter, Schmidt, Riess",cosmology,
"Black holes are objects so dense that nothing, not even light, can escape their gravitational pull once past the event horizon",True,NASA,black_holes,
Black holes suck in everything around them like cosmic vacuum cleaners,False,NASA,black_holes,Black holes do not suck things in. They have the same gravitational pull as any object of the same mass. Objects must cross the event horizon to be trapped. The Sun replaced by a same-mass black hole would not pull the planets in.
Stellar black holes form when massive stars collapse at the end of their life cycle,True,NASA,black_holes,
The first image of a black hole shadow was captured in 2019 showing the supermassive black hole in galaxy M87,True,Event Horizon Telescope Collaboration,black_holes,
"Neutron stars are the densest known objects in the universe, with a teaspoon of neutron star material weighing about 6 billion tons",True,NASA,stars,
A supernova is the explosive death of a massive star and can briefly outshine an entire galaxy,True,NASA,stars,
All stars eventually become black holes when they die,False,NASA,stars,"Only the most massive stars become black holes. Medium-mass stars become white dwarfs, and somewhat larger stars become neutron stars. Our Sun will become a white dwarf."
Red dwarf stars are the most common type of star in the Milky Way,True,NASA,stars,
"Stars twinkle because of turbulence in Earth's atmosphere, not because of any property of the stars themselves",True,NASA,stars,
The North Star Polaris is the brightest star in the night sky,False,NASA,stars,"Sirius is the brightest star in the night sky. Polaris is only about the 50th brightest star, but it is important for navigation because it is very close to the north celestial pole."
Betelgeuse is a red supergiant star in the constellation Orion that is expected to explode as a supernova within the next million years,True,NASA,stars,
The International Space Station orbits Earth at an altitude of approximately 400 kilometers,True,NASA ISS,space_exploration,
"The ISS travels at approximately 28,000 kilometers per hour and completes one orbit of Earth roughly every 90 minutes",True,NASA ISS,space_exploration,
The Apollo 11 mission in 1969 was the first to land humans on the Moon with Neil Armstrong and Buzz Aldrin,True,NASA Apollo Program,space_exploration,
There have been six successful crewed Moon landings all part of the NASA Apollo program,True,NASA,space_exploration,
"Yuri Gagarin was the first human in space aboard Vostok 1 on April 12, 1961",True,NASA History,space_exploration,
Valentina Tereshkova was the first woman in space aboard Vostok 6 in 1963,True,NASA History,space_exploration,
The Hubble Space Telescope was launched in 1990 and orbits Earth at about 547 kilometers altitude,True,NASA Hubble,space_exploration,
The James Webb Space Telescope launched in December 2021 and orbits the Sun at the L2 Lagrange point about 1.5 million kilometers from Earth,True,NASA JWST,space_exploration,
